timestamp,window_seconds,bytes_sent_delta,bytes_recv_delta,packets_sent_delta,packets_recv_delta,packet_rate_raw,byte_rate_raw,connection_count,unique_destinations,unique_ports,syn_count,established_count,time_wait_count,new_destinations,most_common_destination_count,packet_rate,failed_auth_ratio,connection_burst,destination_change_rate,port_scan_score,protocol_deviation,retransmission_rate,payload_irregularity,device_behavior_shift,request_frequency
1788913705.2048693,2.0254945755004883,1831,1295,7,8,7.4055987023779535,1543.3267695755655,32,24,11,0,32,11,0,8,0.3081449644718075,0.06635980905566108,0.0,0.24560162063732244,0.32562963279074064,0.18959945444474594,0.34759899981536757,0.1678594296698176,0.11160037708014592,0.47655935817138156
1788913707.2338006,2.0289313793182373,23136,329255,124,309,213.41283614308185,173683.05482978464,32,24,11,0,32,11,0,8,0.7769711719319272,0.06635980905566108,0.0,0.24560162063732244,0.32562963279074064,0.18959945444474594,0.34759899981536757,0.005202785897114426,0.11160037708014592,0.7722063746389247
1788913709.254491,2.020690441131592,474,701,4,6,4.948803535884484,581.4844154664269,32,24,11,0,32,11,0,8,0.25810586276268627,0.06635980905566108,0.0,0.24560162063732244,0.32562963279074064,0.18959945444474594,0.34759899981536757,0.1546865922771939,0.11160037708014592,0.43889741949647193
1788913711.2754612,2.020970106124878,182,285,2,3,2.474059356368849,231.0771438848505,32,24,11,0,32,11,0,8,0.18025299686243018,0.06635980905566108,0.0,0.24560162063732244,0.32562963279074064,0.18959945444474594,0.34759899981536757,0.1728807444247129,0.11160037708014592,0.38803924379579646
1788913713.2841842,2.008723020553589,24171,932751,130,761,443.56538501482754,476383.24956134544,31,24,11,0,31,13,1,8,0.8825175211438869,0.07397642634589606,0.05,0.4049707947251895,0.3711636825301312,0.2113612181311316,0.379162233240408,0.034930904558735376,0.18876348204378318,0.8360618087245056
1788913715.3170002,2.032815933227539,18794,1294899,154,682,411.2521878322094,646242.9669735152,31,24,11,0,31,13,0,8,0.8715948764756317,0.07047642634589606,0.0,0.24560162063732244,0.32562963279074064,0.2013612181311316,0.369162233240408,0.004238189902088352,0.11395272981742305,0.8345545003880565
1788913717.3334281,2.016427993774414,22868,2598176,249,738,489.47941758758367,1299845.0765870626,31,24,11,0,31,13,0,8,0.8967438437052518,0.07047642634589606,0.0,0.24560162063732244,0.32562963279074064,0.2013612181311316,0.369162233240408,0.015917631779108543,0.11395272981742305,0.8561899417850299
1788913719.3510654,2.017637252807617,9991,32163,26,38,31.720270782541125,20892.754602613102,31,24,11,0,31,13,0,8,0.5048659127247325,0.07047642634589606,0.0,0.24560162063732244,0.32562963279074064,0.2013612181311316,0.369162233240408,0.14001179695247534,0.11395272981742305,0.6066942231333398
1788913721.400182,2.049116611480713,11918,387589,55,316,181.05362960866904,194965.47817808774,31,24,11,0,31,13,0,8,0.7532907851110606,0.07047642634589606,0.0,0.24560162063732244,0.32562963279074064,0.2013612181311316,0.369162233240408,0.03637686152199715,0.11395272981742305,0.7598646467176737
1788913723.4203541,2.020172119140625,2653,60628,17,59,37.620556822816745,31324.558635587717,31,24,11,0,31,13,0,8,0.5288629878465156,0.07047642634589606,0.0,0.24560162063732244,0.32562963279074064,0.2013612181311316,0.369162233240408,0.14226985248573165,0.11395272981742305,0.6239437868252392
1788913725.4364917,2.0161375999450684,6374,2359,18,15,16.36793044328875,4331.549592764868,32,25,11,1,31,13,1,8,0.4131895716196606,0.26180438152088226,0.05,0.4079633521387368,0.45084826957406476,0.3251963424796081,0.43607979541464625,0.1296914224856815,0.21242827413754264,0.5424569817380515
1788913727.4514098,2.014918088912964,6541,18066,20,29,24.31860643349289,12212.407112427745,32,25,11,0,32,13,0,8,0.46774558669600597,0.07047642634589606,0.0,0.24859417805086972,0.32562963279074064,0.2013612181311316,0.369162233240408,0.14232383862568,0.11485049704148724,0.5831726755194929
1788913729.4740374,2.022627592086792,11607,206650,58,189,122.1183775828769,107907.65480204845,31,24,11,0,31,14,0,8,0.6966734911951639,0.07581889144552725,0.05,0.24560162063732244,0.32562963279074064,0.2166254041300779,0.38881324090514285,0.05464442933675118,0.14200556701721231,0.723886054539497
1788913731.4873037,2.0132663249969482,10307,2807,18,12,14.90115819626868,6513.792952862249,31,24,11,0,31,14,0,8,0.40041831523511057,0.07231889144552725,0.0,0.24560162063732244,0.32562963279074064,0.20662540413007788,0.37881324090514285,0.168908098527274,0.1150055670172123,0.5393601652055642
1788913733.522033,2.034729242324829,11140,528846,72,422,242.78414529275076,265384.6953037476,30,23,11,0,30,14,0,8,0.7955533752298418,0.07581889144552725,0.05,0.24248688476141053,0.32562963279074064,0.2166254041300779,0.38881324090514285,0.014105040345014919,0.14107114625443873,0.7829303120824973
1788913735.5491195,2.0270864963531494,4704,973,11,10,10.359696065155712,2800.571169613761,30,23,11,0,30,14,0,8,0.3517380100655576,0.07231889144552725,0.0,0.24248688476141053,0.32562963279074064,0.20662540413007788,0.37881324090514285,0.1628786567649788,0.11407114625443873,0.5020142797514912
1788913737.5800452,2.030925750732422,55,66,1,1,0.984772584265442,59.57874134805924,30,23,11,0,30,14,0,8,0.09922256070045395,0.07231889144552725,0.0,0.24248688476141053,0.32562963279074064,0.20662540413007788,0.37881324090514285,0.1668362843813474,0.11407114625443873,0.3260449907191923
1788913739.5919507,2.0119054317474365,1374,6574,14,17,15.408278893643132,3950.4838918282458,31,24,11,0,31,14,1,8,0.4049624147061503,0.07581889144552725,0.05,0.4049707947251895,0.3711636825301312,0.2166254041300779,0.38881324090514285,0.13195000122039818,0.18981631924357242,0.5351494153739168
1788913741.6194875,2.0275368690490723,2560,1048,7,9,7.891348485072975,1779.4990833839558,31,24,11,0,31,14,0,8,0.31627678118998204,0.07231889144552725,0.0,0.24560162063732244,0.32562963279074064,0.20662540413007788,0.37881324090514285,0.16895329301266887,0.1150055670172123,0.4804701302710531
1788913743.6460164,2.026528835296631,7858,507337,62,399,227.482576102857,254225.34879677097,29,24,9,0,29,15,0,6,0.7861706092550002,0.08104240244333047,0.1,0.24560162063732244,0.30173766823999315,0.23154972126665851,0.40784115565554063,0.020702758826527168,0.16999043044452844,0.7755504591478697
1788913745.6737893,2.027772903442383,4872,1272,12,13,12.328796759025412,3029.9250914980853,31,24,11,0,31,15,0,8,0.37487607350475866,0.08104240244333047,0.1,0.24560162063732244,0.32562963279074064,0.23154972126665851,0.40784115565554063,0.14484190636868682,0.16999043044452844,0.5166673575626004
1788913747.6993296,2.025540351867676,6313,389312,49,308,176.24926586667283,195318.25156443258,31,24,11,0,31,15,0,8,0.7494197129574376,0.07404240244333046,0.0,0.24560162063732244,0.32562963279074064,0.2115497212666585,0.3878411556555406,0.04036513149421528,0.11599043044452843,0.7579525502045813
1788913749.7351823,2.0358526706695557,4598,1905,10,12,10.80628294814899,3194.239000536949,31,24,11,0,31,15,0,8,0.3573193609929146,0.07404240244333046,0.0,0.24560162063732244,0.32562963279074064,0.2115497212666585,0.3878411556555406,0.1658212562624053,0.11599043044452843,0.5085735287830532
1788913751.7634482,2.028265953063965,1448,586,8,8,7.888511847191379,1002.8270685742041,31,24,11,0,31,15,0,8,0.3162305956766938,0.07404240244333046,0.0,0.24560162063732244,0.32562963279074064,0.2115497212666585,0.3878411556555406,0.13184707321202693,0.11599043044452843,0.473016556451623
1788913753.7745957,2.0111474990844727,4609,9440,24,29,26.35311434100532,6985.564214656297,31,24,11,0,31,15,0,8,0.47893296229939364,0.07404240244333046,0.0,0.24560162063732244,0.32562963279074064,0.2115497212666585,0.3878411556555406,0.09492594477844563,0.11599043044452843,0.5795239874007966
1788913755.8112116,2.0366158485412598,9680,348506,49,285,163.99754535899828,175873.12808969506,31,24,11,0,31,15,0,8,0.7390522258026764,0.07404240244333046,0.0,0.24560162063732244,0.32562963279074064,0.2115497212666585,0.3878411556555406,0.04393409686984373,0.11599043044452843,0.7514091022713741
1788913757.8245847,2.0133731365203857,6374,4357,15,17,15.893725519405724,5329.861517148213,31,24,11,0,31,15,0,8,0.4091826055852556,0.07404240244333046,0.0,0.24560162063732244,0.32562963279074064,0.2115497212666585,0.3878411556555406,0.14714132929135476,0.11599043044452843,0.5411418146034818
1788913759.8523545,2.0277698040008545,2619,9849,12,22,16.767189220845935,6148.626917809032,31,24,11,0,31,15,0,8,0.4164793144404349,0.07404240244333046,0.0,0.24560162063732244,0.32562963279074064,0.2115497212666585,0.3878411556555406,0.14910744254708447,0.11599043044452843,0.5466427334532532
1788913762.0527163,2.200361728668213,16828,218764,61,203,119.98027258899299,107069.66810525014,32,25,11,0,32,15,1,8,0.6941377497155257,0.07754240244333047,0.05,0.4079633521387368,0.3711636825301312,0.2215497212666585,0.3978411556555406,0.056674754915381875,0.19169894989495273,0.7245173728910972
1788913764.0867236,2.0340073108673096,22988,51880,59,83,69.81292507717221,36808.12728646288,32,25,11,0,32,15,0,8,0.6166149585131879,0.07404240244333046,0.0,0.24859417805086972,0.32562963279074064,0.2115497212666585,0.3878411556555406,0.06497571268748858,0.11688819766859262,0.671911610603882
1788913766.1124141,2.0256905555725098,33596,52719,83,112,96.26346900002613,42610.160649934645,32,25,11,0,32,10,0,8,0.6625540517559256,0.06403615703308123,0.0,0.24859417805086972,0.32562963279074064,0.18296044866594638,0.33542748922090176,0.028525815854240633,0.1111703431484502,0.6967789965071489
1788913768.1317377,2.0193235874176025,4964,212964,31,172,100.5287123197551,107921.28679024428,32,25,11,0,32,10,0,8,0.668766193918144,0.06403615703308123,0.0,0.24859417805086972,0.32562963279074064,0.18296044866594638,0.33542748922090176,0.08255991600774715,0.1111703431484502,0.711934316051403
1788913770.1573231,2.025585412979126,13185,8464,19,23,20.734746474219804,10687.774438580585,32,25,11,0,32,10,0,8,0.44565371015755967,0.06403615703308123,0.0,0.24859417805086972,0.32562963279074064,0.18296044866594638,0.33542748922090176,0.15577126376498712,0.1111703431484502,0.5703978469704419
1788913772.1683848,2.011061668395996,24349,1563,23,9,15.911993402729863,12884.736657860505,32,25,11,0,32,10,0,8,0.40933903856319653,0.06403615703308123,0.0,0.24859417805086972,0.32562963279074064,0.18296044866594638,0.33542748922090176,0.20420441596728056,0.1111703431484502,0.5546642072948464
1788913774.178044,2.0096592903137207,8953,2312,12,8,9.95193568203189,5605.427772904462,32,25,11,0,32,9,0,8,0.34644683328762504,0.06149088422236405,0.0,0.24859417805086972,0.32562963279074064,0.17568824063532587,0.3220951078314308,0.21314459353120974,0.1097159015423261,0.5124276991147323
1788913776.1888485,2.0108044147491455,32161,11868,28,39,33.319998458606165,21896.21212140255,32,25,11,0,32,9,0,8,0.511775036551204,0.06149088422236405,0.0,0.24859417805086972,0.32562963279074064,0.17568824063532587,0.3220951078314308,0.13614378774207192,0.1097159015423261,0.61275728024141
1788913778.1982446,2.0093960762023926,82,132,1,2,1.492985895378961,106.49966053703255,32,25,11,0,32,9,0,8,0.13222080910592265,0.06149088422236405,0.0,0.24859417805086972,0.32562963279074064,0.17568824063532587,0.3220951078314308,0.17102089300386392,0.1097159015423261,0.35404474208207143
1788913780.2081306,2.0098860263824463,55,66,1,1,0.9950813000077223,60.2024186504672,32,25,11,0,32,9,0,8,0.099972400737535,0.06149088422236405,0.0,0.24859417805086972,0.32562963279074064,0.17568824063532587,0.3220951078314308,0.16675047770323903,0.1097159015423261,0.33061677316407506
1788913782.2212155,2.013084888458252,129,122,2,1,1.490250121691386,124.68426018151263,31,24,11,0,31,9,0,8,0.13206188163487056,0.06499088422236406,0.05,0.24560162063732244,0.32562963279074064,0.18568824063532588,0.3320951078314308,0.18131179588675303,0.13581813431826192,0.35399140115729194
1788913784.2409215,2.0197060108184814,3581,1263,17,18,17.32925475912028,2398.3688586622466,29,22,11,0,29,11,0,8,0.42098735546938754,0.07335980905566107,0.1,0.2392395677340804,0.32562963279074064,0.20959945444474593,0.3675989998153676,0.08358229805111955,0.1636917612091733,0.5324980893428592
1788913786.2542593,2.0133378505706787,1187,2591,8,11,9.43706491914135,1876.485856027159,29,22,11,0,29,11,0,8,0.33947700849602,0.06635980905566108,0.0,0.2392395677340804,0.32562963279074064,0.18959945444474594,0.34759899981536757,0.14919164196553197,0.1096917612091733,0.48856271524438444
